Depth,P1_Heuristic,P2_Heuristic,P1_Win,P2_Win, Draw
4,1,1,51,45,4
4,1,2,23,71,6
4,1,3,20,80,0
4,1,4,17,80,3
4,2,1,72,23,5
4,2,2,62,28,10
4,2,3,52,37,11
4,2,4,23,73,4
4,3,1,71,24,5
4,3,2,56,39,5
4,3,3,50,39,11
4,3,4,34,57,9
4,4,1,80,16,4
4,4,2,57,35,8
4,4,3,65,27,8
4,4,4,37,56,7
5,1,1,44,51,5
5,1,2,23,72,5
5,1,3,33,61,6
5,1,4,20,79,1
5,2,1,65,34,1
5,2,2,47,45,8
5,2,3,46,52,2
5,2,4,34,58,8
5,3,1,74,20,6
5,3,2,59,37,4
5,3,3,48,48,4
5,3,4,30,59,11
5,4,1,62,32,6
5,4,2,63,33,4
5,4,3,52,40,8
5,4,4,42,54,4
6,1,1,52,43,5
6,1,2,33,62,5
6,1,3,40,53,7
6,1,4,28,71,1
6,2,1,54,38,8
6,2,2,50,46,4
6,2,3,51,41,8
6,2,4,27,69,4
6,3,1,67,27,6
6,3,2,40,54,6
6,3,3,43,44,13
6,3,4,42,49,9
6,4,1,66,26,8
6,4,2,61,33,6
6,4,3,52,44,4
6,4,4,48,52,0
7,1,1,42,54,4
7,1,2,38,55,7
7,1,3,35,59,6
7,1,4,30,65,5
7,2,1,52,45,3
7,2,2,50,44,6
7,2,3,51,42,7
7,2,4,37,58,5
7,3,1,56,36,8
7,3,2,49,48,3
7,3,3,58,40,2
7,3,4,36,61,3
7,4,1,60,36,4
7,4,2,52,37,11
7,4,3,52,41,7
7,4,4,45,51,4
8,1,1,59,35,6
8,1,2,49,47,4
8,1,3,52,44,4
8,1,4,34,61,5
8,2,1,56,38,6
8,2,2,42,53,5
8,2,3,44,51,5
8,2,4,32,63,5
8,3,1,62,34,4
8,3,2,45,49,6
8,3,3,49,45,6
8,3,4,41,49,10
8,4,1,58,39,3
8,4,2,53,42,5
8,4,3,43,51,6
8,4,4,41,51,8
